left_category,right_category,pair_receipts,left_receipts,right_receipts,total_receipts,support,confidence_left_to_right,confidence_right_to_left,lift,score
Кольца,Сопутствующие материалы,3,209,3,833,0.003601,0.014354,1.0,3.9856,0.6976
Браслеты,Сопутствующие материалы,3,230,3,833,0.003601,0.013043,1.0,3.6217,0.6667
Серьги,Сопутствующие материалы,3,459,3,833,0.003601,0.006536,1.0,1.8148,0.5131
Броши,Кольца,5,8,209,833,0.006002,0.625,0.023923,2.491,0.4469
Кольца,Серьги,112,209,459,833,0.134454,0.535885,0.244009,0.9725,0.3971
Кулоны,Серьги,81,156,459,833,0.097239,0.519231,0.176471,0.9423,0.387
Браслеты,Серьги,114,230,459,833,0.136855,0.495652,0.248366,0.8995,0.382
Серьги,Чокеры,64,459,129,833,0.076831,0.139434,0.496124,0.9004,0.3762
Браслеты,Чокеры,47,230,129,833,0.056423,0.204348,0.364341,1.3195,0.3485
Колье,Серьги,22,43,459,833,0.026411,0.511628,0.04793,0.9285,0.3406
Каффы,Серьги,53,136,459,833,0.063625,0.389706,0.115468,0.7072,0.3345
Браслеты,Броши,4,230,8,833,0.004802,0.017391,0.5,1.8109,0.3331
Броши,Серьги,5,8,459,833,0.006002,0.625,0.010893,1.1343,0.3315
Броши,Чокеры,3,8,129,833,0.003601,0.375,0.023256,2.4215,0.3272
Браслеты,Колье,17,230,43,833,0.020408,0.073913,0.395349,1.4319,0.3213
Браслеты,Кольца,58,230,209,833,0.069628,0.252174,0.277512,1.0051,0.2928
Кольца,Кулоны,38,209,156,833,0.045618,0.181818,0.24359,0.9709,0.2648
Кольца,Чокеры,32,209,129,833,0.038415,0.15311,0.248062,0.9887,0.2582
Колье,Кольца,12,43,209,833,0.014406,0.27907,0.057416,1.1123,0.2345
Браслеты,Кулоны,27,230,156,833,0.032413,0.117391,0.173077,0.6268,0.2216
Каффы,Кольца,20,136,209,833,0.02401,0.147059,0.095694,0.5861,0.1977
Каффы,Кулоны,19,136,156,833,0.022809,0.139706,0.121795,0.746,0.1925
Браслеты,Каффы,15,230,136,833,0.018007,0.065217,0.110294,0.3995,0.1706
Колье,Чокеры,7,43,129,833,0.008403,0.162791,0.054264,1.0512,0.1623
Колье,Кулоны,7,43,156,833,0.008403,0.162791,0.044872,0.8693,0.1579
Кулоны,Чокеры,11,156,129,833,0.013205,0.070513,0.085271,0.4553,0.1475
Каффы,Чокеры,7,136,129,833,0.008403,0.051471,0.054264,0.3324,0.1167
Каффы,Колье,4,136,43,833,0.004802,0.029412,0.093023,0.5698,0.1095
