left_key,right_key,left_name,right_name,left_article,right_article,left_category,right_category,pair_receipts,left_receipts,right_receipts,total_receipts,support,confidence_left_to_right,confidence_right_to_left,lift,jaccard,score
article:kl02201039/1-g,article:kl02202040/1-g,Кольцо Kalliope мятое с чернением,Серьги Kalliope мятые с чернением,KL02201039/1-G,KL02202040/1-G,Кольца,Серьги,5,5,5,1176,0.004252,1.0,1.0,235.2,1.0,0.902
article:rp00103-g,article:rp00230-g,Серьги с прямоугольными камнями в коньячном цвете Raganella Princess,Кольцо с прямоугольным камнем в коньячном цвете Raganella Princess,RP00103-G,RP00230-G,Серьги,Кольца,4,4,4,1176,0.003401,1.0,1.0,294.0,1.0,0.8937
article:kl0220440,article:rp0011,Браслет Kalliope с ювелирной смолой цвета аквамарин минималистичный,Колье-пояс с четырьмя монетами с золотой цепью и монетой в серебре в биколоре Raganella Princess,KL0220440,RP0011,Браслеты,Колье,3,3,3,1176,0.002551,1.0,1.0,392.0,1.0,0.8835
article:kl0220440,article:rp00103-g,Браслет Kalliope с ювелирной смолой цвета аквамарин минималистичный,Серьги с прямоугольными камнями в коньячном цвете Raganella Princess,KL0220440,RP00103-G,Браслеты,Серьги,3,3,4,1176,0.002551,1.0,0.75,294.0,0.75,0.8585
article:kl0220440,article:rp00230-g,Браслет Kalliope с ювелирной смолой цвета аквамарин минималистичный,Кольцо с прямоугольным камнем в коньячном цвете Raganella Princess,KL0220440,RP00230-G,Браслеты,Кольца,3,3,4,1176,0.002551,1.0,0.75,294.0,0.75,0.8585
article:kl0220440,article:rp00677-g,Браслет Kalliope с ювелирной смолой цвета аквамарин минималистичный,Чокер многослойный с камнем в коньячном цвете Raganella Princess,KL0220440,RP00677-G,Браслеты,Чокеры,3,3,4,1176,0.002551,1.0,0.75,294.0,0.75,0.8585
article:kl0220440,article:rp01860-g,Браслет Kalliope с ювелирной смолой цвета аквамарин минималистичный,Колье удлиненное с двумя монетами Raganella Princess,KL0220440,RP01860-G,Браслеты,Колье,3,3,4,1176,0.002551,1.0,0.75,294.0,0.75,0.8585
article:rp00089/4,article:rp0019,Браслет с монетой Raganella Princess,Кольцо в серебряном цвете с золотой монетой Raganella Princess,RP00089/4,RP0019,Браслеты,Кольца,3,4,3,1176,0.002551,0.75,1.0,294.0,0.75,0.8585
article:rp00103-g,article:rp0011,Серьги с прямоугольными камнями в коньячном цвете Raganella Princess,Колье-пояс с четырьмя монетами с золотой цепью и монетой в серебре в биколоре Raganella Princess,RP00103-G,RP0011,Серьги,Колье,3,4,3,1176,0.002551,0.75,1.0,294.0,0.75,0.8585
article:rp0011,article:rp00230-g,Колье-пояс с четырьмя монетами с золотой цепью и монетой в серебре в биколоре Raganella Princess,Кольцо с прямоугольным камнем в коньячном цвете Raganella Princess,RP0011,RP00230-G,Колье,Кольца,3,3,4,1176,0.002551,1.0,0.75,294.0,0.75,0.8585
