store_name,period_month,source_file,metric_key,metric_label,plan,fact,percent,forecast,forecast_percent,deviation,last_year_fact,lfl_deviation
"Ялта, Набережная 18",2025-01,ЕО Ялта Ленина 18_01.2025.xlsx,revenue,Выручка,1800000.0,1570967.64,0.8727598,1570967.6400000015,0.8727598000000009,-229032.35999999847,,
"Ялта, Набережная 18",2025-01,ЕО Ялта Ленина 18_01.2025.xlsx,items_count,Кол-во изделий,487.8048780487805,409.0,0.83845,409.00000000000045,0.8384500000000009,-78.80487804878004,,
"Ялта, Набережная 18",2025-01,ЕО Ялта Ленина 18_01.2025.xlsx,avg_check,Средний чек,5904.0,7777.067524752475,1.317253984544796,7777.067524752475,1.317253984544796,1873.067524752475,0.0,
"Ялта, Набережная 18",2025-01,ЕО Ялта Ленина 18_01.2025.xlsx,avg_item_price,Средняя стоимость изделия,3690.0,3840.9966748166257,1.0409205080803863,3840.9966748166253,1.0409205080803863,150.99667481662527,,
"Ялта, Набережная 18",2025-01,ЕО Ялта Ленина 18_01.2025.xlsx,items_per_check,Длина чека,1.6,2.0247524752475248,1.265470297029703,2.0247524752475248,1.265470297029703,0.4247524752475247,,
"Ялта, Набережная 18",2025-01,ЕО Ялта Ленина 18_01.2025.xlsx,checks_count,Кол-во чеков,0.0,202.0,,0.0,,,,
"Ялта, Набережная 18",2025-01,ЕО Ялта Ленина 18_01.2025.xlsx,shifts_count,Кол-во смен,30.0,30.0,1.0,0.0,,-30.0,,
"Ялта, Набережная 18",2025-01,ЕО Ялта Ленина 18_01.2025.xlsx,avg_sales_per_shift,Средние продажи в смену,60000.0,52365.587999999996,0.8727598,52365.587999999996,0.8727598,-7634.412000000004,,
"Ялта, Набережная 18",2025-01,ЕО Ялта Ленина 18_01.2025.xlsx,lag_lead,Отставание/Перевыполнение,,-229032.3600000001,,-229032.3600000001,,,,
"Ялта, Набережная 18",2025-01,ЕО Ялта Ленина 18_01.2025.xlsx,traffic,Трафик,,0.0,,0.0,,,,
"Ялта, Набережная 18",2025-01,ЕО Ялта Ленина 18_01.2025.xlsx,conversion,Конверсия план/факт,0.257,,,0.0,,,,
"Ялта, Набережная 18",2026-01,ЕО Ялта Ленина 18_02.01.2026.xlsx,revenue,Выручка,2862720.0000000005,1843451.17,0.6439509173094119,2019902.4627580068,0.7055885531096322,-842817.5372419937,,
